protagoniste1	protagoniste2	description_interaction	description_medoc	mecanisme	CI	AD	PE	PC
INHIBITEURS PUISSANTS DU CYP3A4	RIOCIGUAT	Association DECONSEILLEE Augmentation des concentrations plasmatiques de riociguat par 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Augmentation des concentrations plasmatiques de riociguat par diminution de son metabolisme hepatique par l'inhibiteur.				
INHIBITEURS PUISSANTS DU CYP3A4	RIVAROXABAN	Association DECONSEILLEE Augmentation des concentrations plasmatiques de rivaroxaban, 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Augmentation des concentrations plasmatiques de rivaroxaban, avec majoration du risque de saignement.				
INHIBITEURS PUISSANTS DU CYP3A4	SIMEPREVIR	Association DECONSEILLEE Risque d'augmentation des concentrations plasmatiques de 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Risque d'augmentation des concentrations plasmatiques de simeprevir par diminution de son metabolisme hepatique par l'inhibiteur.				
INHIBITEURS PUISSANTS DU CYP3A4	SUBSTRATS A RISQUE DU CYP3A4	A prendre en compte Majoration des effets indesirables propres a chaque substrat, avec 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Majoration des effets indesirables propres a chaque substrat, avec consequences souvent severes.				
INHIBITEURS PUISSANTS DU CYP3A4	SUFENTANIL	Precaution d'emploi Surveillance clinique et adaptation de la posologie de l'analgesique opiace en cas de traitement par un inhibiteur puissant du CYP3A4. 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Augmentation de l'effet depresseur respiratoire de l'analgesique opiace par diminution de son metabolisme hepatique.			 Surveillance clinique et adaptation de la posologie de l'analgesique opiace en cas de traitement par un inhibiteur puissant du CYP3A4. 	
INHIBITEURS PUISSANTS DU CYP3A4	TAMSULOSINE	Association DECONSEILLEE Risque de majoration des effets indesirables de la tamsulosine, par 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Risque de majoration des effets indesirables de la tamsulosine, par inhibition de son metabolisme hepatique.				
INHIBITEURS PUISSANTS DU CYP3A4	TELITHROMYCINE	CONTRE-INDICATION chez le patient insuffisant renal ou hepatique severe. 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Risque de majoration des effets indesirables, notamment a type de troubles du rythme cardiaque.	 chez le patient insuffisant renal ou hepatique severe. 			
INHIBITEURS PUISSANTS DU CYP3A4	TICAGRELOR	CONTRE-INDICATION Augmentation des concentrations plasmatiques de ticagrelor par 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Augmentation des concentrations plasmatiques de ticagrelor par diminution de son metabolisme hepatique par l'inhibiteur.				
INHIBITEURS PUISSANTS DU CYP3A4	TRASTUZUMAB EMTANSINE	Association DECONSEILLEE Augmentation des concentrations plasmatiques du DM1, un 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Augmentation des concentrations plasmatiques du DM1, un composant du trastuzumab emtansine, par inhibition de son metabolisme par l'inhibiteur. Thesaurus des interactions medicamenteuses				
INHIBITEURS PUISSANTS DU CYP3A4	VERAPAMIL	Precaution d'emploi Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie du verapamil pendant le traitement par l'inhibiteur, et apres son arret, le cas echeant. 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Bradycardie et/ou troubles de la conduction auriculo-ventriculaire, par diminution du metabolisme hepatique du verapamil par l'inhibiteur.			 Surveillance clinique et ECG. S'il y a lieu, adaptation de la posologie du verapamil pendant le traitement par l'inhibiteur, et apres son arret, le cas echeant. 	
INHIBITEURS PUISSANTS DU CYP3A4	ZOLPIDEM	A prendre en compte 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Legere augmentation de l'effet sedatif du zolpidem.				 
INHIBITEURS PUISSANTS DU CYP3A4	ZOPICLONE	A prendre en compte 	Certains medicaments possedent la capacite d'inhiber fortement le CYP3A4, une enzyme qui intervient dans le metabolisme de nombreux medicaments. Lorsque l'activite de cette enzyme est inhibee, elle n'est plus en mesure de metaboliser le medicament qui va alors s'accumuler. Si la marge therapeutique de ce medicament est etroite et qu'il n'y a pas d'autre voie metabolique efficace, le risque d'observer une interaction cliniquement significative devient eleve.Les principaux inhibiteurs du CYP3A4 sont :- les azoles antifongiques (ketoconazole, itraconazole, voriconazole, posaconazole),- les inhibiteurs de protease, representes ici par le ritonavir, avec lequel ils sont boostes,- certains macrolides (la clarithromycine, l'erythromycine, la telithromycine).Parmi les substrats du CYP3A4 a marge therapeutique etroite et pour lesquels un risque de surdosage est plus particulierement a redouter en cas d'association avec un inhibiteur du CYP3A4, on peut citer :- l'ergotamine, alcaloide vasocontricteur de l'ergot de seigle : risque de necrose des extremites ;- les immunosuppresseurs (ciclosporine, tacrolimus...) : risque nephrotoxique ;- certaines statines (simvastatine, et dans une moindre mesure, atorvastatine) : risque musculaire, notamment rhabdomyolyse ;- certains medicaments donnant des torsades de pointes : pimozide, halofantrine, lumefantrine ;- des medicaments depresseurs du centre respiratoire : alfentanil, sufentanil, oxycodone, midazolam ;- certains cytotoxiques : bortezomib, docetaxel, inhibiteurs des tyrosine kinases.Pour connaitre les risques et les niveaux de contrainte de chacun de ces substrats, il convient de se reporter aux interactions specifiques avec chaque inhibiteur.(boceprevir, clarithromycine, cobicistat, erythromycine, itraconazole, ketoconazole, posaconazole, ritonavir, telaprevir, telithromycine, voriconazole)	Legere augmentation de l'effet sedatif de la zopiclone.				 
INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	LITHIUM	Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. 	(citalopram, dapoxetine, escitalopram, fluoxetine, fluvoxamine, paroxetine, sertraline, vortioxetine)	Risque d'apparition d'un syndrome serotoninergique.			 Surveillance clinique et biologique reguliere, notamment en debut d'association. 	
INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	MILLEPERTUIS	Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. 	(citalopram, dapoxetine, escitalopram, fluoxetine, fluvoxamine, paroxetine, sertraline, vortioxetine)	Risque d'apparition d'un syndrome serotoninergique.			 Surveillance clinique et biologique reguliere, notamment en debut d'association. 	
INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	ORLISTAT	A prendre en compte Risque d'echec therapeutique en cas de traitement concomitant par 	(citalopram, dapoxetine, escitalopram, fluoxetine, fluvoxamine, paroxetine, sertraline, vortioxetine)	Risque d'echec therapeutique en cas de traitement concomitant par orlistat. Thesaurus des interactions medicamenteuses				
INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	TRAMADOL	A prendre en compte Risque d'apparition de convulsions et/ou d'un syndrome 	(citalopram, dapoxetine, escitalopram, fluoxetine, fluvoxamine, paroxetine, sertraline, vortioxetine)	Risque d'apparition de convulsions et/ou d'un syndrome serotoninergique.				
INHIBITEURS SELECTIFS DE LA RECAPTURE DE LA SEROTONINE	TRIPTANS	A prendre en compte Risque d'apparition d'un syndrome serotoninergique.	(citalopram, dapoxetine, escitalopram, fluoxetine, fluvoxamine, paroxetine, sertraline, vortioxetine)	Risque d'apparition d'un syndrome serotoninergique.				
IRINOTECAN	MILLEPERTUIS	CONTRE-INDICATION Diminution des concentrations plasmatiques du metabolite actif de 	Voir aussi : cytotoxiques - substrats a risque du CYP3A4	Diminution des concentrations plasmatiques du metabolite actif de l'irinotecan, avec risque d'echec du traitement cytotoxique.				
ISAVUCONAZOLE	MILLEPERTUIS	CONTRE-INDICATION Diminution des concentrations plasmatiques d'isavuconazole par 		Diminution des concentrations plasmatiques d'isavuconazole par augmentation de son metabolisme hepatique par le millepertuis.				
ISONIAZIDE	KETOCONAZOLE	Precaution d'emploi Espacer les prises des deux anti-infectieux d'au moins 12 heures. Surveiller les concentrations plasmatiques du ketoconazole et adapter eventuellement sa posologie. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Diminution des concentrations plasmatiques de ketoconazole.			 Espacer les prises des deux anti-infectieux d'au moins 12 heures. Surveiller les concentrations plasmatiques du ketoconazole et adapter eventuellement sa posologie. 	
ISONIAZIDE	PHENYTOINE (ET, PAR EXTRAPOLATION, FOSPHENYTOINE)	Precaution d'emploi Surveillance clinique etroite, dosage des concentrations plasmatiques de phenytoine et adaptation eventuelle de sa posologie pendant le traitement par l'isoniazide et apres son arret. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Surdosage en phenytoine (diminution de son metabolisme). Thesaurus des interactions medicamenteuses			 Surveillance clinique etroite, dosage des concentrations plasmatiques de phenytoine et adaptation eventuelle de sa posologie pendant le traitement par l'isoniazide et apres son arret. 	
ISONIAZIDE	PYRAZINAMIDE	Precaution d'emploi Surveillance clinique et biologique. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Addition des effets hepatotoxiques.			 Surveillance clinique et biologique. 	
ISONIAZIDE	RIFAMPICINE	Precaution d'emploi Surveillance clinique et biologique de cette association classique. En cas d'hepatite, arreter l'isoniazide. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Augmentation de l'hepatotoxicite de l'isoniazide (augmentation de la formation de metabolites toxiques de l'isoniazide).			 Surveillance clinique et biologique de cette association classique. En cas d'hepatite, arreter l'isoniazide. 	
ISONIAZIDE	STAVUDINE	Precaution d'emploi Surveillance clinique et biologique reguliere, notamment en debut d'association. 	Voir aussi : substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants	Risque majore de survenue de neuropathies peripheriques par addition d'effets indesirables.			 Surveillance clinique et biologique reguliere, notamment en debut d'association. 	
ITRACONAZOLE	LERCANIDIPINE	Association DECONSEILLEE Risque majore d'effets indesirables, notamment d'oedemes, par 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque majore d'effets indesirables, notamment d'oedemes, par diminution du metabolisme hepatique de la dihydropyridine.				
ITRACONAZOLE	LUMEFANTRINE	Association DECONSEILLEE Si cela est possible, interrompre le torsadogene associe. Si l'association ne peut etre evitee, controle prealable du QT et surveillance ECG monitoree. 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque majore de troubles du rythme ventriculaire, notamment de torsades de pointes. Thesaurus des interactions medicamenteuses		 Si cela est possible, interrompre le torsadogene associe. Si l'association ne peut etre evitee, controle prealable du QT et surveillance ECG monitoree. 		
ITRACONAZOLE	MILLEPERTUIS	CONTRE-INDICATION 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque de diminution importante des concentrations plasmatiques d'itraconazole, avec risque de perte d'efficacite, par augmentation de son metabolisme hepatique par le millepertuis.	 			
ITRACONAZOLE	MIZOLASTINE	CONTRE-INDICATION Risque de troubles du rythme ventriculaire, notamment de torsades 	Voir aussi : inhibiteurs puissants du CYP3A4	Risque de troubles du rythme ventriculaire, notamment de torsades de pointes.				
ITRACONAZOLE	NINTEDANIB	Precaution d'emploi Surveillance clinique pendant l'association. 	Voir aussi : inhibiteurs puissants du CYP3A4	Augmentation des concentrations plasmatiques du nintedanib par augmentation de son absorption par l'itraconazole.			 Surveillance clinique pendant l'association. 	
